구분,심야(00:00~04:00),새벽(04:00~07:00),오전(07:00~12:00),오후(12:00~18:00),초저녁(18:00~20:00),밤(20:00~24:00)
2014,642,43,154,185,61,172
2015,572,23,141,180,67,152
2016,445,43,134,233,74,180
2017,467,50,159,273,89,211
2018,510,40,196,291,98,230
