"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3220000","CDFI2260032003000003","20030526","","01","영업/정상","13","영업중","","","","","555-5656","","","서울특별시 강남구 삼성동 159-8","서울특별시 강남구 테헤란로 521 (삼성동 그랜드인터콘티넨탈호텔)","06164","그랜드인터컨티넨탈 서울 파르나스","20210111110557","U","2020-11-30 23:03:00.0","","205314.159889285","445204.709309676","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032021000002","20210511","","01","영업/정상","13","영업중","","","","","02-727-7361","","","서울특별시 강남구 역삼동 676 센터필드","서울특별시 강남구 테헤란로 231 센터필드 (역삼동)","06142","(주)조선호텔앤리조트 조선팰리스강남","20210511161326","I","2020-12-04 23:03:00.0","","203599.062771687","444556.062267296","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032020000002","20200812","","01","영업/정상","13","영업중","","","","","02-539-6360","","","서울특별시 강남구 신사동 561-19","서울특별시 강남구 도산대로 153 (신사동)","06037","한석","20201022180736","U","2019-10-30 22:04:00.0","","202159.749483028","446291.277157107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032003000004","20030626","","03","폐업","03","폐업","20200812","","","","542-0112","","","서울특별시 강남구 논현동 56-21","서울특별시 강남구 학동로 141 (논현동 호텔G)","06045","호텔 G","20200812130909","U","2019-12-07 23:04:00.0","","202253.771265692","445646.871803817","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032005000002","20050309","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 205-9번지 ","'서울특별시 강남구 봉은사로 139 (논현동 베스트웨스턴 강남호텔)'","06122","베스트웨스턴 프리미어 강남호텔","20150821163753","I","2018-08-31 23:59:59.0","","202564.648054725    ","444905.529446636    ","관광숙박업","관광사업","일반상업지역","","기타","","","호텔","15","5","","","","","","","","","","","","6956.5","","","","","","","","","","","","","6957",""
"3220000","CDFI2260032005000001","20050404","","01","영업/정상","13","영업중","","","","","2016-4530","","","서울특별시 강남구 대치동 995-14번지 ","'서울특별시 강남구 테헤란로 606 (대치동 호텔아이파크(주))'","06174","파크하얏트서울","20200410155910","U","2020-04-12 02:40:00.0","","205601.904041677    ","445151.509504571    ","관광숙박업","관광사업","일반상업지역","28","학교정화(상대)","","","호텔","24","4","","","PARK HYATT SEOUL","","","","","","","","","22998.17","","","","","","","","","","","","","22998","관광호텔업"
"3220000","CDFI2260032003000005","20031013","","01","영업/정상","13","영업중","","","","","3454-1101","","135840","서울특별시 강남구 대치동 893-1번지 ","서울특별시 강남구 삼성로 431 (대치동)","","이비스 스타일 앰배서더 강남","20200103160120","U","2020-01-05 02:40:00.0","","204976.284445723    ","444767.617235233    ","관광숙박업","관광사업","일반주거지역","20","기타","","","호텔","14","6","","","","","","","","","","","","17842.04","","","","","","","","","","","","","17842","관광호텔업"
"3220000","CDFI2260032019000002","20190624","","01","영업/정상","13","영업중","","","","","02-3488-4124","","","서울특별시 강남구 청담동 91-2번지 4층 ","'서울특별시 강남구 도산대로 419 4층층 (청담동)'","06016","호텔리베라 아노블리","20190624084329","I","2019-06-26 02:21:21.0","","203610.123149101    ","446848.654294053    ","관광숙박업","","상업지역","16","학교정화(상대)","","","","","","","","","","","","","","","","","3621","","","","","","","","","","","","","3621","가족호텔업"
"3220000","CDFI2260032019000001","20190424","","01","영업/정상","13","영업중","","","","","02-311-9000","","","서울특별시 강남구 삼성동 91-28번지 ","'서울특별시 강남구 영동대로 618 호텔인나인 (삼성동)'","06081","호텔 인 나인","20190424090207","I","2019-04-26 02:20:49.0","","205230.860541362    ","445942.050995741    ","관광숙박업","","일반상업지역","","기타","","","숙박시설","19","4","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업"
"3220000","CDFI2260032019000003","20190910","","01","영업/정상","13","영업중","","","","","02-2193-1234","","","서울특별시 강남구 신사동 603","서울특별시 강남구 논현로 854 안다즈서울강남 (신사동)","06022","안다즈 서울 강남","20210414184430","U","2020-12-03 23:06:00.0","","202482.216634599","447020.420866992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032014000001","20141002","","01","영업/정상","13","영업중","","","","","02-2054-9185","","135915","서울특별시 강남구 역삼동 675-3번지 ","서울특별시 강남구 언주로 517 (역삼동)","06139","호텔 신라스테이 역삼(Hotel Shilla Stay Yeoksam)","20141002235436","I","2018-08-31 23:59:59.0","","203578.799034139    ","444715.394917107    ","관광숙박업","","일반주거지역","20","주택가주변","","","숙박시설","15","5","","","","","","","","","","","","24392.04","","","","","","","","","2000000000","","","","24392","관광호텔업"
"3220000","CDFI2260032013000002","20130726","","01","영업/정상","13","영업중","","","","","02-562-3520~1","","135920","서울특별시 강남구 역삼동 720-23번지 ","서울특별시 강남구 언주로87길 11 (역삼동)","06221","호텔 컬리넌 역삼","20200408193402","U","2020-04-10 02:40:00.0","","203651.669007478    ","444353.684205677    ","관광숙박업","","상업지역","11","기타","","","숙박시설","10","1","","","","","","","","","","","","","","","","","","","","","12664000000","","","","",""
"3220000","CDFI2260032018000004","20180530","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 708-35번지 ","서울특별시 강남구 선릉로85길 6 (역삼동)","06212","호텔 뉴브","20180530205308","I","2018-08-31 23:59:59.0","","204272.802698096    ","444535.336141507    ","관광숙박업","","상업지역","19","","","","","14","5","","","","","","","","","","","","11823.91","","","","","","","","","","","","","11824",""
"3220000","CDFI2260032007000002","20071211","","01","영업/정상","13","영업중","","","","","02-546-0088","","","서울특별시 강남구 신사동 527-2","서울특별시 강남구 도산대로1길 83 (신사동 까사미아호텔)","06027","라까사호텔","20200902175519","U","2019-12-09 00:04:00.0","","201658.416590861","446639.566102925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032017000004","20170818","","01","영업/정상","13","영업중","","","","","02  512 2016","","","서울특별시 강남구 논현동 201-5","서울특별시 강남구 강남대로112길 20 (논현동)","06120","왈츠호텔","20210302145538","U","2020-12-03 00:04:00.0","","202235.26618266","444811.276333113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260031978000001","19780510","","01","영업/정상","13","영업중","","","","","3451-8000","","","서울특별시 강남구 역삼동 602","서울특별시 강남구 봉은사로 120 (역삼동 호텔 리츠칼튼 서울)","06124","르 메르디앙 서울 호텔","20210401182030","U","2020-12-04 00:03:00.0","","202299.611121179","444739.274032656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032012000004","20120705","","03","폐업","03","폐업","20210402","","","","568-8371","","135877","서울특별시 강남구 삼성동 144-7","서울특별시 강남구 테헤란로79길 7 (삼성동)","06158","호텔 더 디자이너스","20210402105211","U","2020-12-04 00:04:00.0","","204801.754078438","445016.79397056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032021000001","20210420","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 6-9","서울특별시 강남구 논현로149길 40 화이트린넨하우스 (논현동)","06040","화이트린넨하우스 호스텔","20210420150700","I","2020-12-03 22:02:00.0","","202166.609544191","446168.480343939","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
