구분,"아파트, 주택",노상,"상점, 노점",숙박업소목욕탕,유흥접객업소,역대합실,지하철,기타교통수단내,학교,기타
2014,602,53,9,21,15,0,0,1,0,1
2015,457,65,11,23,31,1,0,4,37,506
2016,463,37,12,16,10,0,0,6,17,548
2017,499,42,10,8,10,2,3,8,16,651
2018,563,58,19,8,11,1,1,6,18,680
