업종명,업소명,소재지(도로명),소재지(지번),소재지전화
유흥주점영업,비너스,부산광역시 부산진구 서면문화로 11-1 (부전동),부산광역시 부산진구 부전동 475-4 , 051- 806-7100
유흥주점영업,메가톤소주호프주점,"부산광역시 부산진구 중앙대로692번길 46-7, 지하1층 (부전동)",부산광역시 부산진구 부전동 223-2 지하1층 , 051- 804-1169
유흥주점영업,에쿠스,부산광역시 부산진구 서면로68번길 53 (부전동),부산광역시 부산진구 부전동 254-8 ,
유흥주점영업,로또노래타운,"부산광역시 부산진구 중앙대로692번길 40, 지하1층 (부전동)",부산광역시 부산진구 부전동 219-2 지하1층 , 051- 808-0012
유흥주점영업,키스노래주점,부산광역시 부산진구 부전로96번길 30 (부전동),부산광역시 부산진구 부전동 477-14 ,051 -805 -5267
유흥주점영업,유나포장크럽,부산광역시 부산진구 부전로152번길 46 (부전동),부산광역시 부산진구 부전동 395-2 , 051- 802-7375
유흥주점영업,연예인노래주점,"부산광역시 부산진구 골드테마길 32 (범천동,,18)","부산광역시 부산진구 범천동 845-17 ,18 ",
유흥주점영업,팔방,부산광역시 부산진구 서전로9번길 6 (부전동),부산광역시 부산진구 부전동 142-13 ,
유흥주점영업,찬스,부산광역시 부산진구 서면로 48 (부전동),부산광역시 부산진구 부전동 242-3 , 051- 809-3338
유흥주점영업,라이브양정역4번출구,부산광역시 부산진구 연수로 4 (양정동),부산광역시 부산진구 양정동 336-23 , 051- 852-2284
유흥주점영업,샾,"부산광역시 부산진구 부전로20번길 28, 지하1층 (부전동)",부산광역시 부산진구 부전동 522-47 지하1층 ,051 -818 -4558
유흥주점영업,짝짝,부산광역시 부산진구 중앙대로691번가길 11 (부전동),부산광역시 부산진구 부전동 515-71 , 051- 805-7323
유흥주점영업,지구촌,부산광역시 부산진구 동평로229번길 4 (연지동),부산광역시 부산진구 연지동 193-11 , 
유흥주점영업,운동장,부산광역시 부산진구 서면로 29-9 (부전동),부산광역시 부산진구 부전동 522-44 ,051 -819 -9759
유흥주점영업,홀리노래주점,"부산광역시 부산진구 서면로 29-9, 지하1층 (부전동)",부산광역시 부산진구 부전동 522-44 지하1층 ,051 -808 -0551
유흥주점영업,탈렌트노래방,부산광역시 부산진구 서전로9번길 26 (부전동),부산광역시 부산진구 부전동 122-24 , 051- 809-3174
유흥주점영업,바나나,"부산광역시 부산진구 신천대로62번길 68, 지하1층 (부전동)",부산광역시 부산진구 부전동 241-34 지하1층 , 
유흥주점영업,방방노래홀,부산광역시 부산진구 가야대로482번길 5 (개금동),부산광역시 부산진구 개금동 171-30 , 051- 893-8971
유흥주점영업,탑,"부산광역시 부산진구 서면문화로5번길 24 (부전동,,29)","부산광역시 부산진구 부전동 477-28 ,29 ", 051- 804-4321
유흥주점영업,야궁노래주점,부산광역시 부산진구 부전로20번길 32-7 (부전동),부산광역시 부산진구 부전동 521-24 , 051- 807-8700
유흥주점영업,체어맨노래짱, ,부산광역시 부산진구 범천동 1298-0 , 051- 647-4802
유흥주점영업,이브,"부산광역시 부산진구 중앙대로691번가길 11 (부전동,(지하1층))",부산광역시 부산진구 부전동 515-71 (지하1층) ,051 -806 -2221
유흥주점영업,Raon56,"부산광역시 부산진구 가야대로784번길 56, 지상2층 (부전동)",부산광역시 부산진구 부전동 519-14 지상2층 , 051- 806-0210
유흥주점영업,야화노래주점,"부산광역시 부산진구 부전로96번길 34-8 (부전동,(지하1층))",부산광역시 부산진구 부전동 477-22 (지하1층) ,070 -7578-3221
유흥주점영업,유성노래주점,"부산광역시 부산진구 골드테마길 47 (범천동,(1층))",부산광역시 부산진구 범천동 847-8 (1층) , 051- 642-4971
유흥주점영업,빅토리노래주점,"부산광역시 부산진구 부전로20번길 32-7 (부전동,(지하1층))",부산광역시 부산진구 부전동 521-24 (지하1층) ,051 -817 -2245
유흥주점영업,솔레,"부산광역시 부산진구 부전로20번길 32-5, 지상2층 (부전동)",부산광역시 부산진구 부전동 521-25 지상2층 , 051- 808-4524
유흥주점영업,제우스,부산광역시 부산진구 부전로20번길 32-7 (부전동),부산광역시 부산진구 부전동 521-24 , 051- 819-3588
유흥주점영업,보떼노래주점,"부산광역시 부산진구 부전로20번길 30, 지하1층 (부전동)",부산광역시 부산진구 부전동 522-1 지하1층 , 051- 806-7779
